CONDUIT & FITTINGS,CONDUIT & FITTINGS,,,,,,,,
EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,EMT CONDUIT IN FLOOR SLAB OR MULTIPLE RUNS ON A TRAPEZE,,,,,,,,
INSULATED DIE CAST SET SCREW EMT CONNECTORS,"1""",1.26,3.28,,0.08,,Ea,L1: [$41.03] - (1 electrician),L1
INSULATED DIE CAST SET SCREW EMT CONNECTORS,"1-1/4""",2.52,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
INSULATED DIE CAST SET SCREW EMT CONNECTORS,"1-1/2""",3.07,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
INSULATED DIE CAST SET SCREW EMT CONNECTORS,"2""",4.12,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
INSULATED DIE CAST SET SCREW EMT CONNECTORS,"2-1/2""",11.2,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
INSULATED DIE CAST SET SCREW EMT CONNECTORS,"3""",13.1,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
INSULATED DIE CAST SET SCREW EMT CONNECTORS,"3-1/2""",16.7,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
INSULATED DIE CAST SET SCREW EMT CONNECTORS,"4""",18.3,10.3,,0.25,,Ea,L1: [$41.03] - (1 electrician),L1
STEEL SET SCREW EMT CONNECTORS,STEEL SET SCREW EMT CONNECTORS,,,,,,,,
STEEL SET SCREW EMT CONNECTORS,"1/2""",0.69,2.05,,0.05,,Ea,L1: [$41.03] - (1 electrician),L1
STEEL SET SCREW EMT CONNECTORS,"3/4""",1.12,2.46,,0.06,,Ea,L1: [$41.03] - (1 electrician),L1
STEEL SET SCREW EMT CONNECTORS,"1""",1.96,3.28,,0.08,,Ea,L1: [$41.03] - (1 electrician),L1
STEEL SET SCREW EMT CONNECTORS,"1-1/4""",4.09,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
STEEL SET SCREW EMT CONNECTORS,"1-1/2""",5.96,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
STEEL SET SCREW EMT CONNECTORS,"2""",8.45,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
STEEL SET SCREW EMT CONNECTORS,"2-1/2""",27.8,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
STEEL SET SCREW EMT CONNECTORS,"3""",32.7,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
STEEL SET SCREW EMT CONNECTORS,"3-1/2""",42.9,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
STEEL SET SCREW EMT CONNECTORS,"4""",49.3,10.3,,0.25,,Ea,L1: [$41.03] - (1 electrician),L1
INSULATED STEEL SET SCREW EMT CONNECTORS,INSULATED STEEL SET SCREW EMT CONNECTORS,,,,,,,,
INSULATED STEEL SET SCREW EMT CONNECTORS,"1/2""",0.92,2.05,,0.05,,Ea,L1: [$41.03] - (1 electrician),L1
INSULATED STEEL SET SCREW EMT CONNECTORS,"3/4""",1.48,2.46,,0.06,,Ea,L1: [$41.03] - (1 electrician),L1
INSULATED STEEL SET SCREW EMT CONNECTORS,"1""",2.46,3.28,,0.08,,Ea,L1: [$41.03] - (1 electrician),L1
INSULATED STEEL SET SCREW EMT CONNECTORS,"1-1/4""",4.93,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
INSULATED STEEL SET SCREW EMT CONNECTORS,"1-1/2""",7.23,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
INSULATED STEEL SET SCREW EMT CONNECTORS,"2""",10.5,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
INSULATED STEEL SET SCREW EMT CONNECTORS,"2-1/2""",47,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
INSULATED STEEL SET SCREW EMT CONNECTORS,"3""",58.4,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
INSULATED STEEL SET SCREW EMT CONNECTORS,"3-1/2""",78.4,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
INSULATED STEEL SET SCREW EMT CONNECTORS,"4""",85.7,10.3,,0.25,,Ea,L1: [$41.03] - (1 electrician),L1
"DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT",,,,,,,,
"DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","1/2""",0.46,2.05,,0.05,,Ea,L1: [$41.03] - (1 electrician),L1
"DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","3/4""",0.82,2.46,,0.06,,Ea,L1: [$41.03] - (1 electrician),L1
"DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","1""",1.32,3.28,,0.08,,Ea,L1: [$41.03] - (1 electrician),L1
"DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","1-1/4""",2.17,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
"DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","1-1/2""",2.85,4.1,,0.1,,Ea,L1: [$41.03] - (1 electrician),L1
"DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","2""",4.53,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
"DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","2-1/2""",9.68,6.15,,0.15,,Ea,L1: [$41.03] - (1 electrician),L1
"DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","3""",11.8,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
"DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","3-1/2""",15.7,8.21,,0.2,,Ea,L1: [$41.03] - (1 electrician),L1
"DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","4""",18.2,10.3,,0.25,,Ea,L1: [$41.03] - (1 electrician),L1
"INSULATED DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT","INSULATED DIE CAST COMPRESSION EMT CONNECTORS, RAINTIGHT",,,,,,,,
