id,part,upc,cost,updated upc
2124,15A 125V TWISTLOCK RECEPTACLE,4089367684,0,78500747000
1407,15A 125V TWISTLOCK RECEPTACLE ISOLATED GROUND,3266454763,0,78500747000
1201,15A 250V 2 POLE 3 WIRE LOCKING PLUG MALE END,4089367808,0,78500723659
1202,15A 250V 2 POLE 3 WIRE LOCKING WIRE CONNECTOR FEMALE END,4089367924,0,78500723668
2290,15A 250V 2 POLE 3 WIRE PLUG MALE END,3266434080,0,78500723659
458,15A 250V IVORY SINGLE RECEPTACLE TAMPER RESISTANT,3266418220,0,78500754891
1200,15A 250V TIWSTLOCK RECEPTACLE,4089367686,0,78500745600
1405,15A 277V 2 POLE 3 WIRE LOCKING PLUG MALE END,4089367812,0,78500723659
1400,15A 277V 2 POLE 3 WIRE LOCKING PLUG MALE END,4089367814,0,78500723659
1406,15A 277V 2 POLE 3 WIRE LOCKING WIRE CONNECTOR FEMALE END,4089367932,0,78500723668
2306,15A 277V 2 POLE 3 WIRE LOCKING WIRE CONNECTOR FEMALE END,4089367933,0,78500723668
1403,15A 277V TWISTLOCK RECEPTACLE,4089367672,0,78500745600
2997,15A AFCI DUPLEX RECEPTACLE WHITE TAMPER RESISTANT,3266473946,0,78500738268
2662,15A CLOCK RECEPTACLE WHITE TAMPER RESISTANT,3266467236,0,78500768783
2566,15A DECORA DUPLEX RECEPTACLE BLACK TAMPER RESISTANT,3266466638,0,78500786104
2568,15A DECORA DUPLEX RECEPTACLE BLACK TAMPER RESISTANT / WEATHER RESISTANT,3266467366,0,78500724179
2565,15A DECORA DUPLEX RECEPTACLE BROWN TAMPER RESISTANT,3266475249,0,78500724103
2600,15A DECORA DUPLEX RECEPTACLE GRAY TAMPER RESISTANT,3266466512,0,78500724050
2384,15A DECORA DUPLEX RECEPTACLE IVORY,3266451247,0,78500786102
2527,15A DECORA DUPLEX RECEPTACLE IVORY TAMPER RESISTANT,3266466643,0,78500786102
2569,15A DECORA DUPLEX RECEPTACLE IVORY TAMPER RESISTANT / WEATHER RESISTANT,3266467367,0,78500724170
1739,15A DECORA DUPLEX RECEPTACLE LIGHT ALMOND,3266475086,0,78500786100
2528,15A DECORA DUPLEX RECEPTACLE LIGHT ALMOND TAMPER RESISTANT,3266466642,0,78500786100
2395,15A DECORA DUPLEX RECEPTACLE WHITE TAMPER RESISTANT,3266466644,0,78500786098
2739,15A DECORA DUPLEX RECPTACLE BLACK TAMPER RESISTANT,3266467370,0,78500786104
2781,15A DECORA DUPLEX RECPTACLE w/ USB BLACK TAMPER RESISTANT,3266472922,0,78500712762
3130,15A DECORA DUPLEX RECPTACLE w/ USB BLACK TAMPER RESISTANT,3266474149,0,78500712762
3129,15A DECORA DUPLEX RECPTACLE w/ USB IVORY TAMPER RESISTANT,3266474152,0,78500712763
3117,15A DECORA DUPLEX RECPTACLE w/ USB LIGHT ALMOND TAMPER RESISTANT,3266474151,0,78500712764
3217,15A DECORA DUPLEX RECPTACLE w/ USB WHITE TAMPER RESISTANT,88377830689,0,78500712765
2744,15A DECORA DUPLEX SPLIT CONTROL RECPTACLE WHITE TAMPER RESISTANT,3266467227,0,78500700150
2793,15A DUPLEX RECEPTACLE ALMOND,3266456011,0,78500724006
2134,15A DUPLEX RECEPTACLE BLACK,3266462821,0,78500724030
2564,15A DUPLEX RECEPTACLE BLACK TAMPER RESISTANT,3266475266,0,78500724030
